Incident Number,Initial Call Type,Final Call Type,Responding Agency,Primary Responding Unit,Call Creation Time,First Dispatched Time,First Arrival Time,Clear Time,Priority,Call Creation Mechanism
15001125,DOGAL ,DOG AT LARGE,SPD ,5C1   ,14:27.0,15:40.0,25:30.0,07:28.0,4,PHONE
15001543,INFOPD,INFORMATION - POLICE,SPD ,      ,49:11.0,NULL,NULL,NULL,9,PHONE
15001550,TRFSTP,NO VALID DL,SPD ,3S22  ,03:24.0,03:24.0,03:24.0,16:05.0,6,SELF 
15001627,DSPUT ,DISPUTE,SPD ,      ,03:36.0,NULL,NULL,NULL,3,E911 
15001722,TRFSTP,TRAFFIC STOP,SPD ,1S12  ,24:10.0,24:10.0,24:10.0,53:24.0,6,SELF 
15001744,THFTVE,THEFT FROM VEHICLE,SPD ,1S18  ,03:48.0,05:16.0,05:57.0,10:49.0,3,W911 
15001821,TRFSTP,DWS,SPD ,2S21  ,27:38.0,27:38.0,27:38.0,39:19.0,4,SELF 
15002029,ABANVE,ABANDONED VEHICLE,SPD ,5C4   ,28:37.0,28:38.0,28:38.0,35:05.0,5,SELF 
15002034,DSPUT ,DISPUTE,SPD ,      ,32:13.0,NULL,NULL,NULL,3,E911 
15002100,ALMAUD,AUDIBLE ALARM,SPD ,3S23  ,52:17.0,01:01.0,03:32.0,08:31.0,3,PHONE
15002143,TRFSIG,TRAFFIC SIGNAL MALFUNCTION,SPD ,      ,36:12.0,57:18.0,NULL,NULL,3,PHONE
15002184,TRFSTP,DWS,SPD ,3S23  ,24:53.0,24:53.0,24:53.0,41:47.0,4,SELF 
15002205,ILGLBU,ILLEGAL BURNING,SPD ,      ,51:22.0,NULL,NULL,NULL,5,E911 
15002294,TRFSTP,DWS,SPD ,3S11  ,12:38.0,12:39.0,12:39.0,27:05.0,4,SELF 
15002392,PTRLCK,PATROL CHECK,SPD ,3S12  ,12:21.0,12:21.0,12:21.0,40:09.0,4,SELF 
15002530,LOUDNO,LOUD NOISE,SPD ,1S19  ,37:11.0,06:55.0,25:17.0,27:07.0,5,PHONE
15002635,TRFSTP,DWS,SPD ,2S22  ,49:59.0,49:59.0,49:59.0,06:00.0,6,SELF 
15002665,SUSPVE,SUSPICIOUS VEHICLE,SPD ,      ,32:16.0,NULL,NULL,NULL,3,PHONE
15002717,RCOVEH,RECOVERED STOLEN VEHICLE,SPD ,      ,39:10.0,NULL,NULL,NULL,9,PHONE
15002729,WARSER,WARRANT SERVICE,SPD ,SP674 ,48:32.0,48:32.0,48:32.0,57:49.0,4,SELF 
15002738,WARSER,WARRANT SERVICE,SPD ,SP674 ,57:58.0,57:58.0,57:58.0,02:48.0,4,SELF 
15002760,SUSPCO,SUSPICIOUS CONDITIONS,SPD ,3S13  ,54:25.0,45:04.0,50:00.0,00:48.0,4,PHONE
15002801,INFOPD,INFORMATION - POLICE,SPD ,      ,41:38.0,NULL,NULL,NULL,9,PHONE
15002825,TOWVEH,TOWED VEHICLE,SPD ,      ,36:20.0,NULL,NULL,NULL,9,PHONE
15002844,INFOPD,INFORMATION - POLICE,SPD ,      ,08:14.0,NULL,NULL,NULL,5,PHONE
15002879,TRFSTP,NO VALID DL,SPD ,3S12  ,03:30.0,03:30.0,03:30.0,12:52.0,6,SELF 
15002884,TRFSTP,DWS,SPD ,3S11  ,05:42.0,05:42.0,05:42.0,22:29.0,6,SELF 
15002894,WRGWAY,WRONG WAY DRIVER,SPD ,3S13  ,26:40.0,28:24.0,NULL,33:07.0,3,E911 
15002926,SUSPVE,SUSPICIOUS VEHICLE,SPD ,      ,15:06.0,NULL,NULL,NULL,3,PHONE
15002986,TRFSTP,TRAFFIC STOP,SPD ,3S10  ,07:44.0,07:44.0,07:44.0,09:17.0,6,SELF 
15003035,SUSPCO,SUSPICIOUS CONDITIONS,SPD ,      ,13:14.0,NULL,NULL,NULL,3,PHONE
15003076,TRFSTP,DWS,SPD ,1S22  ,27:45.0,27:45.0,27:45.0,39:16.0,4,SELF 
15003182,DOGAL ,DOG AT LARGE,SPD ,5C1   ,39:37.0,41:36.0,15:36.0,28:34.0,4,PHONE
15003184,TRFSTP,DWS,SPD ,2S21  ,43:17.0,43:17.0,43:17.0,00:21.0,6,SELF 
15003200,TRFSTP,NO VALID DL,SPD ,2S21  ,04:42.0,04:42.0,04:42.0,21:54.0,6,SELF 
15003227,TRFSTP,DWS,SPD ,2S21  ,51:36.0,51:36.0,51:36.0,03:33.0,6,SELF 
15003273,ALMSIL,ALARM SILENT,SPD ,      ,03:10.0,NULL,NULL,NULL,3,PHONE
15003278,DOGAL ,DOG AT LARGE,SPD ,5C1   ,08:07.0,08:07.0,08:07.0,12:11.0,4,SELF 
15003357,WARSER,WARRANT SERVICE,SPD ,SP600 ,07:18.0,07:18.0,07:18.0,07:22.0,4,SELF 
15003405,BURG  ,BURGLARY,SPD ,      ,04:34.0,NULL,NULL,NULL,9,PHONE
15003420,WARSER,WARRANT SERVICE,SPD ,SP600 ,26:14.0,26:15.0,26:15.0,21:15.0,4,SELF 
15003440,DOGAL ,DOG AT LARGE,SPD ,      ,58:01.0,NULL,NULL,NULL,4,PHONE
15003523,PTRLCK,PATROL CHECK,SPD ,3S21  ,49:28.0,49:29.0,49:29.0,00:25.0,4,SELF 
15003524,REKDRI,RECKLESS DRIVING,SPD ,      ,49:32.0,NULL,NULL,NULL,3,PHONE
15003576,TOWVEH,TOWED VEHICLE,SPD ,      ,40:14.0,NULL,NULL,NULL,5,PHONE
15003584,TRSPS ,CRIMINAL TRESPASS,SPD ,      ,46:35.0,NULL,NULL,NULL,9,PHONE
15003602,TRFSTP,NO VALID DL,SPD ,3S11  ,12:29.0,12:29.0,12:29.0,24:50.0,6,SELF 
15003652,INFOPD,INFORMATION - POLICE,SPD ,      ,03:21.0,NULL,NULL,NULL,9,PHONE
15003655,ATLDRK,ATTEMPT TO LOCATE DRUNK DRIVER,SPD ,      ,09:11.0,NULL,NULL,NULL,3,PHONE
15003714,SUSPSU,SUSPICIOUS SUBJECT,SPD ,1S22  ,41:45.0,20:46.0,29:35.0,50:29.0,3,PHONE
15003749,THEFT ,THEFT,SPD ,      ,54:15.0,NULL,NULL,NULL,4,W911 
15003859,TRFSTP,TRAFFIC STOP,SPD ,1S11  ,28:52.0,28:52.0,28:52.0,43:41.0,6,SELF 
15003939,TRFCOM,TRAFFIC COMPLAINT,SPD ,      ,07:24.0,07:25.0,07:25.0,NULL,4,SELF 
15003950,ABANVE,ABANDONED VEHICLE,SPD ,5C4   ,33:58.0,33:58.0,33:58.0,36:39.0,5,SELF 
15003984,SPEDVE,SPEEDING VEHICLE,SPD ,      ,49:07.0,NULL,NULL,NULL,9,PHONE
15004065,FNDANI,FOUND ANIMAL,SPD ,5C1   ,36:18.0,42:46.0,44:37.0,24:10.0,5,PHONE
15004068,SUBSER,SUBPOENA SERVICE,SPD ,5C4   ,37:02.0,37:02.0,37:02.0,39:50.0, ,SELF 
15004074,SUBSER,SUBPOENA SERVICE,SPD ,5C4   ,42:30.0,42:30.0,42:30.0,48:55.0, ,SELF 
15004091,SUSPCO,SUSPICIOUS CONDITIONS,SPD ,      ,01:47.0,05:52.0,06:05.0,58:28.0,3,PHONE
15004104,MVAINJ,MOTOR VEH ACC INJURY,SPD ,      ,13:29.0,NULL,NULL,NULL,3,PHONE
15004179,ALMAUD,AUDIBLE ALARM,SPD ,      ,34:44.0,NULL,NULL,NULL,3,PHONE
15004183,ABANVE,ABANDONED VEHICLE,SPD ,5C4   ,42:21.0,42:22.0,42:22.0,46:46.0,5,SELF 
15004186,RRXPRO,RAILROAD CROSSING PROBLEM,SPD ,      ,44:09.0,NULL,NULL,NULL,4,PHONE
15004189,ABANVE,ABANDONED VEHICLE,SPD ,5C4   ,50:44.0,50:45.0,50:45.0,00:24.0,5,SELF 
15004211,ABANVE,ABANDONED VEHICLE,SPD ,5C4   ,13:46.0,13:46.0,13:46.0,31:40.0,5,SELF 
15004257,ALMAUD,AUDIBLE ALARM,SPD ,3S12  ,02:12.0,01:04.0,05:55.0,09:34.0,3,PHONE
15004275,HARAS ,HARASSMENT,SPD ,      ,18:49.0,NULL,NULL,NULL,9,PHONE
15004318,LVSTKL,LIVESTOCK AT LARGE,SPD ,5C1   ,53:53.0,53:53.0,53:53.0,18:32.0,4,SELF 
15004415,SUSPSU,SUSPICIOUS SUBJECT,SPD ,3S22  ,50:35.0,54:44.0,58:45.0,09:06.0,4,PHONE
15004430,THEFT ,THEFT,SPD ,5C2   ,10:54.0,31:39.0,41:24.0,13:16.0,8,PHONE
15004451,INFOPD,INFORMATION - POLICE,SPD ,      ,47:28.0,NULL,NULL,NULL,9,PHONE
15004519,TRFSTP,NO VALID DL,SPD ,3S22  ,31:16.0,31:17.0,31:17.0,49:13.0,6,SELF 
15004537,MISJUV,MISSING JUVENILE,SPD ,3S11  ,00:28.0,03:42.0,07:55.0,28:26.0,3,E911 
15004588,SHTFIR,SHOTS FIRED,SPD ,3S11  ,23:48.0,26:56.0,30:43.0,36:33.0,3,W911 
15004637,LOUDNO,LOUD NOISE,SPD ,1S11  ,17:11.0,29:04.0,34:09.0,40:22.0,5,PHONE
15004706,SUSPSU,SUSPICIOUS SUBJECT,SPD ,1S22  ,59:42.0,02:56.0,06:14.0,40:07.0,3,E911 
15004755,DOGAL ,DOG AT LARGE,SPD ,5C1   ,21:17.0,22:58.0,29:39.0,46:44.0,4,PHONE
15004778,DOGAL ,DOG AT LARGE,SPD ,5C1   ,01:31.0,02:44.0,11:09.0,30:58.0,4,PHONE
15004784,SUBSER,SUBPOENA SERVICE,SPD ,5C4   ,07:13.0,07:13.0,07:13.0,12:14.0, ,SELF 
15004796,SUBSER,SUBPOENA SERVICE,SPD ,5C4   ,22:42.0,22:43.0,22:43.0,30:20.0, ,SELF 
15004835,ATL   ,ATTEMPT TO LOCATE,SPD ,      ,29:05.0,NULL,NULL,NULL,3,PHONE
15004839,ABANVE,ABANDONED VEHICLE,SPD ,5C4   ,32:58.0,32:58.0,32:58.0,38:46.0,5,SELF 
15004859,TRFSTP,DWS,SPD ,2S12  ,06:42.0,06:42.0,06:42.0,22:20.0,4,SELF 
15004872,ABANVE,ABANDONED VEHICLE,SPD ,5C4   ,17:47.0,17:47.0,17:47.0,24:27.0,5,SELF 
15004919,TOWVEH,TOWED VEHICLE,SPD ,      ,15:25.0,NULL,NULL,NULL,5,PHONE
15004953,ABANVE,ABANDONED VEHICLE,SPD ,5C4   ,01:21.0,01:22.0,01:22.0,03:48.0,5,SELF 
15005018,HARAS ,HARASSMENT,SPD ,      ,17:57.0,NULL,NULL,NULL,9,PHONE
15005072,TRFHAZ,TRAFFIC HAZARD,SPD ,2M1   ,41:29.0,41:29.0,41:29.0,41:51.0,3,SELF 
15005094,DEADAN,DEAD ANIMAL,SPD ,      ,05:09.0,NULL,NULL,NULL,5,PHONE
15005240,PROWLR,PROWLER,SPD ,3S12  ,24:51.0,27:37.0,31:37.0,41:34.0,3,PHONE
15005293,TRFSTP,NO VALID DL,SPD ,3S18  ,07:03.0,07:03.0,07:03.0,27:17.0,6,SELF 
15005301,SUBSCR,SUBJECT SCREAMING,SPD ,3S13  ,20:05.0,22:50.0,28:05.0,31:22.0,3,PHONE
15005384,TRFSTP,AUDIBLE ALARM,SPD ,1S13  ,33:12.0,33:12.0,33:12.0,39:38.0,3,SELF 
15005482,PTRLCK,PATROL CHECK,SPD ,1S23  ,26:33.0,26:33.0,26:33.0,55:53.0,4,SELF 
15005509,DOGVIC,DOG VICIOUS,SPD ,      ,35:00.0,NULL,NULL,NULL,5,W911 
15005781,LOCVEH,ATTEMPT TO LOCATE,SPD ,      ,07:05.0,NULL,NULL,NULL,5,PHONE
15005861,MVAUNK,MOTOR VEH ACC UNKNOWN INJ,SPD ,      ,26:23.0,NULL,NULL,NULL,3,PHONE
15005956,TRFSTP,NO VALID DL,SPD ,3S21  ,17:20.0,17:21.0,17:21.0,48:59.0,6,SELF 
15005988,SUSPSU,SUSPICIOUS SUBJECT,SPD ,3S12  ,53:29.0,14:50.0,18:03.0,05:00.0,4,PHONE
15006004,INFOPD,INFORMATION - POLICE,SPD ,      ,12:50.0,NULL,NULL,NULL,9,PHONE
15006053,ATLDRK,ATTEMPT TO LOCATE DRUNK DRIVER,SPD ,      ,54:03.0,NULL,NULL,NULL,3,PHONE
15006184,TRFSTP,DWS,SPD ,1S21  ,56:42.0,56:42.0,56:42.0,07:45.0,4,SELF 
15006199,TRFSTP,NO VALID DL,SPD ,1S11  ,31:18.0,31:18.0,31:18.0,29:17.0,6,SELF 
15006207,TRFSTP,TRAFFIC STOP,SPD ,1S18  ,53:25.0,53:25.0,53:25.0,04:52.0,6,SELF 
15006212,TRFSTP,NO VALID DL,SPD ,1S18  ,11:26.0,11:26.0,11:26.0,25:57.0,6,SELF 
15006230,TRFSTP,DWS,SPD ,1S18  ,06:13.0,06:13.0,06:13.0,17:10.0,4,SELF 
15006236,TRFSTP,DWS,SPD ,1S18  ,29:00.0,29:00.0,29:00.0,45:13.0,4,SELF 
15006263,TRFSTP,TRAFFIC STOP,SPD ,1S12  ,51:38.0,51:38.0,51:38.0,14:46.0,6,SELF 
15006492,PTRLRQ,PATROL REQUEST,SPD ,      ,01:52.0,NULL,NULL,NULL,9,PHONE
15006515,REKDRI,RECKLESS DRIVING,SPD ,      ,22:19.0,NULL,NULL,NULL,3,W911 
15006522,FNDANI,FOUND ANIMAL,SPD ,5C1   ,28:23.0,30:43.0,NULL,53:26.0,5,PHONE
15006524,ATL   ,ATTEMPT TO LOCATE,SPD ,      ,29:44.0,NULL,NULL,NULL, ,PHONE
15006600,SUBSER,SUBPOENA SERVICE,SPD ,5C4   ,06:14.0,06:15.0,06:15.0,11:30.0, ,SELF 
15006606,SUBSER,SUBPOENA SERVICE,SPD ,5C4   ,15:12.0,15:13.0,15:13.0,17:50.0, ,SELF 
15006612,DOGAL ,DOG AT LARGE,SPD ,5C1   ,21:44.0,23:28.0,31:13.0,55:50.0,4,PHONE
15006616,SUBSER,SUBPOENA SERVICE,SPD ,5C4   ,24:19.0,24:19.0,24:19.0,27:27.0, ,SELF 
15006632,SUBSER,SUBPOENA SERVICE,SPD ,5C4   ,45:50.0,45:51.0,45:51.0,49:41.0, ,SELF 
15006640,FRAUD ,FRAUD,SPD ,      ,51:30.0,NULL,NULL,NULL,4,PHONE
15006684,INFOPD,INFORMATION - POLICE,SPD ,      ,45:13.0,NULL,NULL,NULL,5,PHONE
15006773,ATL   ,ATTEMPT TO LOCATE,SPD ,      ,40:08.0,NULL,NULL,NULL,5,PHONE
15006849,ATLDRK,ATTEMPT TO LOCATE DRUNK DRIVER,SPD ,      ,09:42.0,NULL,NULL,NULL,4,W911 
15006908,ALMAUD,AUDIBLE ALARM,SPD ,3S23  ,29:11.0,47:33.0,50:53.0,55:43.0,3,PHONE
15006954,TRFSTP,TRAFFIC STOP,SPD ,3S11  ,39:15.0,39:15.0,39:15.0,42:15.0,6,SELF 
15007093,FOLUP ,FOLLOW UP,SPD ,1S19  ,59:30.0,59:30.0,59:30.0,09:10.0,5,SELF 
15007260,ABANVE,ABANDONED VEHICLE,SPD ,5C4   ,48:21.0,48:22.0,48:22.0,58:54.0,5,SELF 
15007342,ALMAUD,AUDIBLE ALARM,SPD ,2S22  ,31:25.0,32:16.0,37:50.0,46:07.0,3,PHONE
15007433,LOCPRO,LOCATION STOLEN PROPERTY,SPD ,      ,57:42.0,NULL,NULL,NULL,5,PHONE
15007471,THEFT ,THEFT,SPD ,      ,05:22.0,NULL,NULL,NULL,4,PHONE
15007560,RCOVEH,RECOVERED STOLEN VEHICLE,SPD ,      ,37:02.0,NULL,NULL,NULL,9,PHONE
15007611,RNWYJU,RUNAWAY JUVENILE,SPD ,      ,42:26.0,NULL,NULL,NULL,9,PHONE
15007638,INFOPD,INFORMATION - POLICE,SPD ,      ,16:28.0,NULL,NULL,NULL,9,PHONE
15007658,RCOVEH,RECOVERED STOLEN VEHICLE,SPD ,      ,43:08.0,NULL,NULL,NULL,9,PHONE
15007675,SUSPCO,SUSPICIOUS CONDITIONS,SPD ,3S11  ,20:22.0,29:03.0,32:11.0,44:38.0,3,PHONE
15007695,DSPUT ,DISPUTE,SPD ,      ,52:46.0,NULL,NULL,NULL,3,E911 
15007704,REKDRI,RECKLESS DRIVING,SPD ,      ,04:19.0,NULL,NULL,NULL,3,PHONE
15007755,TRSPS ,CRIMINAL TRESPASS,SPD ,      ,33:23.0,NULL,NULL,NULL,3,PHONE
15007933,SUSPSU,SUSPICIOUS SUBJECT,SPD ,      ,36:30.0,NULL,NULL,NULL,4,PHONE
15007934,PTRLCK,PATROL CHECK,SPD ,1S18  ,40:20.0,40:20.0,40:20.0,43:16.0,4,SELF 
15007937,PTRLCK,PATROL CHECK,SPD ,1S18  ,48:22.0,48:22.0,48:22.0,49:53.0,4,SELF 
15007938,PTRLCK,PATROL CHECK,SPD ,1S11  ,50:45.0,50:45.0,50:45.0,01:24.0,4,SELF 
15008014,ALMAUD,AUDIBLE ALARM,SPD ,2S12  ,20:25.0,21:46.0,24:27.0,46:44.0,4,PHONE
15008018,INFOPD,WEAPON OFFENSE,SPD ,2S12  ,28:33.0,00:47.0,11:13.0,21:33.0,3,PHONE
15008043,TRFSTP,TRAFFIC STOP,SPD ,2S22  ,44:28.0,44:28.0,44:28.0,56:22.0,6,SELF 
15008136,PERSTP,PERSON STOP,SPD ,2S22  ,24:26.0,24:26.0,24:26.0,49:09.0,6,SELF 
15000022,PERSTP,IN POSSESSION OF NARCOTICS,SPD ,3S12  ,11:42.0,11:42.0,11:42.0,09:10.0,4,SELF 
15000026,TRFSTP,TRAFFIC STOP,SPD ,1S12  ,14:29.0,14:29.0,14:29.0,18:35.0,6,SELF 
15000029,TRFSTP,TRAFFIC STOP,SPD ,1S18  ,17:00.0,17:00.0,17:00.0,19:29.0,6,SELF 
15000037,TRFSTP,DUII,SPD ,3D1   ,25:33.0,25:33.0,25:33.0,15:27.0,4,SELF 
15000040,DSPUT ,HARASSMENT,SPD ,1S12  ,27:26.0,28:14.0,32:33.0,20:05.0,3,PHONE
15000059,DSPUT ,DISPUTE,SPD ,1S11  ,51:36.0,53:25.0,57:46.0,13:24.0,3,PHONE
15000068,TRFSTP,TRAFFIC STOP,SPD ,3D2   ,02:01.0,02:01.0,02:01.0,16:33.0,6,SELF 
15000079,TRFSTP,TRAFFIC STOP,SPD ,1S22  ,19:10.0,19:10.0,19:10.0,23:26.0,6,SELF 
15000082,TRFSTP,DUII,SPD ,3S13  ,21:44.0,21:45.0,21:45.0,00:07.0,4,SELF 
15000087,DSRDSU,DISORDERLY SUBJECT,SPD ,1S18  ,24:01.0,33:18.0,40:15.0,32:59.0,3,E911 
15000096,TRFSTP,DUII,SPD ,3D2   ,32:45.0,32:45.0,32:45.0,21:06.0,4,SELF 
15000109,TRFSTP,TRAFFIC STOP,SPD ,1S22  ,43:11.0,43:11.0,43:11.0,49:16.0,6,SELF 
15000111,TRFSTP,TRAFFIC STOP,SPD ,1S18  ,44:13.0,44:13.0,44:13.0,50:14.0,6,SELF 
15000115,TRFSTP,TRAFFIC STOP,SPD ,1S21  ,59:54.0,59:54.0,59:54.0,03:33.0,6,SELF 
15000118,TRFSTP,TRAFFIC STOP,SPD ,1S12  ,04:01.0,04:01.0,04:01.0,07:22.0,6,SELF 
15000120,TRFSTP,DUII,SPD ,1S22  ,08:40.0,08:40.0,08:40.0,33:58.0,4,SELF 
15000122,ALMAUD,AUDIBLE ALARM,SPD ,1S11  ,11:30.0,29:07.0,34:05.0,36:45.0,3,PHONE
15000127,TRFSTP,TRAFFIC STOP,SPD ,1S11  ,15:21.0,15:21.0,15:21.0,26:25.0,6,SELF 
15000139,TRFSTP,TRAFFIC STOP,SPD ,3D1   ,31:49.0,31:49.0,31:49.0,35:14.0,6,SELF 
15000145,TRFSTP,TRAFFIC STOP,SPD ,1S12  ,38:18.0,38:18.0,38:18.0,46:18.0,6,SELF 
15000153,TRSPS ,CRIMINAL TRESPASS,SPD ,1S12  ,50:32.0,53:39.0,58:49.0,20:09.0,3,E911 
15000154,TRFSTP,TRAFFIC STOP,SPD ,3D1   ,52:49.0,52:49.0,52:49.0,14:19.0,6,SELF 
15000160,DSPUT ,DUII,SPD ,3D1   ,09:04.0,11:06.0,18:24.0,35:07.0,4,PHONE
15000168,BURG  ,BURGLARY,SPD ,1S11  ,15:43.0,17:58.0,21:02.0,07:28.0,3,W911 
15000169,TRFSTP,DUII,SPD ,3D2   ,26:05.0,26:05.0,26:05.0,51:27.0,4,SELF 
15000170,TRFSTP,TRAFFIC STOP,SPD ,3D2   ,27:19.0,27:19.0,27:19.0,28:42.0,6,SELF 
15000178,TRFSTP,TRAFFIC STOP,SPD ,1S18  ,36:32.0,36:33.0,36:33.0,38:50.0,6,SELF 
15000182,TRFSTP,DUII,SPD ,1S18  ,45:03.0,45:03.0,45:03.0,32:53.0,4,SELF 
15000190,TRFSTP,TRAFFIC STOP,SPD ,1S20  ,03:46.0,03:46.0,03:46.0,09:44.0,6,SELF 
15000192,TRFSTP,DWS,SPD ,1S22  ,12:32.0,12:32.0,12:32.0,31:10.0,4,SELF 
15000193,TRFSTP,TRAFFIC STOP,SPD ,1S12  ,14:49.0,14:49.0,14:49.0,21:38.0,6,SELF 
15000194,ATLDRK,ATTEMPT TO LOCATE DRUNK DRIVER,SPD ,1S20  ,16:07.0,19:40.0,24:22.0,26:22.0,3,PHONE
15000202,TRFSTP,TRAFFIC STOP,SPD ,1S12  ,36:58.0,36:58.0,36:58.0,40:33.0,6,SELF 
15000203,TRFSTP,TRAFFIC STOP,SPD ,1S21  ,38:40.0,38:41.0,38:41.0,40:57.0,6,SELF 
15000207,TRFSTP,TRAFFIC STOP,SPD ,1S12  ,01:13.0,01:13.0,01:13.0,04:50.0,6,SELF 
15000208,DSPUT ,DISPUTE,SPD ,1S12  ,03:20.0,05:39.0,12:19.0,55:02.0,3,PHONE
15000217,TRFSTP,TRAFFIC STOP,SPD ,1S21  ,37:30.0,37:30.0,37:30.0,41:39.0,6,SELF 
15000233,TRFSTP,TRAFFIC STOP,SPD ,1S22  ,45:50.0,45:50.0,45:50.0,56:02.0,6,SELF 
15000256,LOCSUB,ASSAULT,SPD ,2S11  ,09:00.0,10:45.0,15:51.0,08:20.0,3,PHONE
15000261,TRFSTP,WARRANT SERVICE,SPD ,2S12  ,27:39.0,27:39.0,27:39.0,06:24.0,4,SELF 
15000263,CRMSCH,CRIMINAL MISCHIEF,SPD ,5C4   ,32:32.0,50:10.0,59:20.0,12:26.0,8,PHONE
15000305,ASLT  ,ASSAULT,SPD ,2S22  ,27:15.0,18:28.0,24:16.0,50:45.0,4,PHONE
15000337,HR    ,HIT AND RUN,SPD ,5C4   ,29:31.0,32:00.0,35:18.0,02:20.0,8,PHONE
15000354,HR    ,HIT AND RUN,SPD ,2S12  ,56:28.0,03:39.0,49:23.0,35:58.0,3,W911 
15000357,REKDRI,DUII,SPD ,2S21  ,02:29.0,06:57.0,11:53.0,36:11.0,4,W911 
15000390,SUSPVE,SUSPICIOUS VEHICLE,SPD ,2S12  ,50:48.0,38:09.0,42:38.0,03:40.0,4,PHONE
15000398,ABANVE,ABANDONED VEHICLE,SPD ,5C4   ,58:11.0,58:12.0,58:12.0,04:00.0,5,SELF 
15000402,TRFSTP,PURSUIT,SPD ,2S20  ,11:02.0,11:02.0,11:02.0,56:05.0,1,SELF 
15000404,ABANVE,ABANDONED VEHICLE,SPD ,5C4   ,15:21.0,15:21.0,15:21.0,20:30.0,5,SELF 
15000421,WATPRO,WATER PROBLEM,SPD ,      ,36:09.0,NULL,NULL,NULL,5,PHONE
15000423,THFTVE,THEFT FROM VEHICLE,SPD ,5C4   ,38:31.0,41:51.0,55:20.0,05:31.0,8,PHONE
15008153,SUSPSU,SUSPICIOUS SUBJECT,SPD ,      ,40:54.0,NULL,NULL,NULL,3,PHONE
15008245,INCALL,INCOMPLETE CALL,SPD ,3S21  ,50:33.0,59:02.0,06:32.0,12:58.0,3,W911 
15008390,SUSPCO,SUSPICIOUS CONDITIONS,SPD ,      ,24:19.0,NULL,NULL,NULL,9,PHONE
15008435,ALMAUD,AUDIBLE ALARM,SPD ,      ,49:21.0,NULL,NULL,NULL,3,PHONE
15008518,LOUDNO,LOUD NOISE,SPD ,      ,14:01.0,NULL,NULL,NULL,4,PHONE
15008688,TRFSTP,DWS,SPD ,2M2   ,22:19.0,22:20.0,22:20.0,33:34.0,6,SELF 
15008696,DSPUT ,DISPUTE,SPD ,      ,29:37.0,NULL,NULL,NULL,4,W911 
15008724,TOWVEH,TOWED VEHICLE,SPD ,      ,59:20.0,NULL,NULL,NULL,9,PHONE
15008799,REKDRI,RECKLESS DRIVING,SPD ,      ,36:24.0,NULL,NULL,NULL,3,PHONE
15008954,TRFSTP,PATROL CHECK,SPD ,2M2   ,40:54.0,40:54.0,40:54.0,59:56.0,6,SELF 
15008973,WARSER,WARRANT SERVICE,SPD ,SP674 ,07:53.0,07:53.0,07:53.0,11:11.0,4,SELF 
15008974,TOWVEH,TOWED VEHICLE,SPD ,      ,09:22.0,NULL,NULL,NULL,5,PHONE
15008987,DRVCMP,DRIVING COMPLAINT,SPD ,3S11  ,24:15.0,42:54.0,48:42.0,02:16.0,4,PHONE
15009004,TRFSTP,DWS,SPD ,3S12  ,50:23.0,50:23.0,50:23.0,08:55.0,6,SELF 
